Property ID,Differing Columns,File1 Values,File2 Values
PT-1014-1420925,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1420926,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1420932,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1420937,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1420944,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1420946,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1420951,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1420958,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1420965,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
PT-1014-1420967,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan, '2020-21': nan, '2021-22': nan, '2022-23': nan}"
