Property ID,Column,Value in File 1,Value in File 2
PT-1014-755513,Owner Id,"['76bcda7b-69da-4f38-8378-e486f4ec11b6', '02ba8f57-1b7f-4426-a3bb-960c2aae2389', '7313db32-8d7a-4809-922f-9691187d9573', '748aeb9b-a922-484f-b7a7-722f3211e0b7']","['76bcda7b-69da-4f38-8378-e486f4ec11b6', '748aeb9b-a922-484f-b7a7-722f3211e0b7', '7313db32-8d7a-4809-922f-9691187d9573', '02ba8f57-1b7f-4426-a3bb-960c2aae2389']"
PT-1014-1413683,Owner Id,"['a4f10718-393b-4d37-b691-b312278cdcca', '2a560d7c-535b-4a8c-9406-b9a6737a9d56']","['2a560d7c-535b-4a8c-9406-b9a6737a9d56', 'a4f10718-393b-4d37-b691-b312278cdcca']"
PT-1014-1252454,Owner Id,"['3578e328-9f8c-40b7-85dc-a157f3331ca5', '2bb7c8a5-32e1-4fb4-858a-6e8e42749a4e']","['2bb7c8a5-32e1-4fb4-858a-6e8e42749a4e', '3578e328-9f8c-40b7-85dc-a157f3331ca5']"
PT-1014-1003097,Owner Id,"['e6ef50e1-7950-4aa2-b7ca-59061f3a6f1c', '24d25f9e-c2fd-4241-a39a-930ff40dbe8b']","['24d25f9e-c2fd-4241-a39a-930ff40dbe8b', 'e6ef50e1-7950-4aa2-b7ca-59061f3a6f1c']"
PT-1014-1010370,Owner Id,"['bd262b02-6b02-4548-baf3-f2439cfdf4c1', 'a34e62d9-a26b-4ff7-8041-4cd7173fdf0a']","['a34e62d9-a26b-4ff7-8041-4cd7173fdf0a', 'bd262b02-6b02-4548-baf3-f2439cfdf4c1']"
PT-1014-878827,Owner Id,"['b96bc60f-b7e6-4eb5-9139-7f86bf8de35b', '582d1e33-7cb7-4203-898c-c72c607a8115']","['582d1e33-7cb7-4203-898c-c72c607a8115', 'b96bc60f-b7e6-4eb5-9139-7f86bf8de35b']"
PT-1014-985864,Owner Id,"['2bdf1080-da36-4cbf-b994-5936eb6d0eb6', '41777ad3-a971-4ef9-80f0-56793b54eb2e', '838e99d7-bc0f-46a1-ba0f-a7ff4c6ad80a']","['838e99d7-bc0f-46a1-ba0f-a7ff4c6ad80a', '41777ad3-a971-4ef9-80f0-56793b54eb2e', '2bdf1080-da36-4cbf-b994-5936eb6d0eb6']"
PT-1014-977649,Owner Id,"['398a3599-0112-4333-9e45-81c9e6bcffaa', '350e3e17-b997-4892-bd92-e3b2287932af', '5a50e5af-c861-4a87-af75-e1457d3a754a', 'ccedc1fd-e0ff-4035-ac57-3f8e48873dc4']","['ccedc1fd-e0ff-4035-ac57-3f8e48873dc4', '398a3599-0112-4333-9e45-81c9e6bcffaa', '350e3e17-b997-4892-bd92-e3b2287932af', '5a50e5af-c861-4a87-af75-e1457d3a754a']"
PT-1014-1544643,Owner Id,"['1ed3b1b5-529a-480b-99da-f27e10ffd93f', '7725ba73-315d-4cd9-b3c7-03aad17155b7', '06b282e8-c274-4b9f-99fb-f538c93ea4c4']","['7725ba73-315d-4cd9-b3c7-03aad17155b7', '06b282e8-c274-4b9f-99fb-f538c93ea4c4', '1ed3b1b5-529a-480b-99da-f27e10ffd93f']"
PT-1014-758191,Owner Id,"['43424fb4-36ef-447a-8db0-24747b57ad23', 'c61efe39-9b3f-4cee-947e-baadb6626a3f']","['c61efe39-9b3f-4cee-947e-baadb6626a3f', '43424fb4-36ef-447a-8db0-24747b57ad23']"
