Property ID,Owner Id,Locality,Plot size,Propertyusagetype,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,YearOfConstruction
PT-1014-763857,['4b7a2891-7baf-4e78-89e1-1bf7e292a21d'],['PLC68'],17.0,NONRESIDENTIAL.COMMERCIAL,,,,,,0,0,1165,1109,1044,970,825,
PT-1014-765683,"['b011e1c5-33fa-4d7f-902f-f8cf53396183', 'bf4cff87-81d7-427c-8e93-8ba3bef9c29c', '0e1f31b8-b6d7-478c-924c-4983c0f62bd0', '0e96ce65-4c65-43da-967b-99ead73980d5', '0aeb93b9-6b7f-4772-a191-17cc7de2d620', '0d6cb91b-51c3-451b-aad5-0c57b68d950a', '0ceb4d26-2b33-4189-ae17-7a55be2c594a']",['PLC90'],58.0,MIXED,,,,0,0,0,0,"Demand not generated, hence not paid",0,372,0,0,
PT-1014-765711,['a68df977-d284-4bce-8cf2-952cb23f5c91'],['PLC82'],23.0,NONRESIDENTIAL.COMMERCIAL,,,,,0,0,0,1580,1504,1416,1315,1119,
PT-1014-765718,['a68df977-d284-4bce-8cf2-952cb23f5c91'],['PLC82'],23.0,NONRESIDENTIAL.COMMERCIAL,,,,0,0,0,0,1580,1504,1416,1315,1119,
PT-1014-765729,['23570a54-7143-4058-98c5-a42e1b071438'],['PLC8'],284.0,RESIDENTIAL,,,,0,0,0,0,1380,1306,1221,1124,939,
PT-1014-765771,['5d5da811-f8a2-4c8b-b1a8-deb7e283decc'],['PLC81'],220.0,RESIDENTIAL,,,,,,0,0,"Demand not generated, hence not paid",0,0,0,0,
PT-1014-765858,"['dcb2f41e-8ed2-4bd7-8f79-2366a15093cc', '68bdeacb-b7cd-4850-8db9-e424e85a3f8d']",['PLC52'],175.0,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,0,0,"Demand not generated, hence not paid",0,0,
PT-1014-765889,"['dcb9952d-b48e-465a-97c9-3e00a466b2f8', 'e15e80dc-a476-49fa-9bc0-0615acfc72ef', '8a7d75d8-88be-4dc9-8aba-f94d94419d3f']",['PLC121'],356.0,MIXED,,,0,0,0,0,0,0,0,0,0,47968,
PT-1014-765909,['7db10f22-d471-47ae-bd3e-f2c62ec9064d'],['PLC155'],34.0,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,2330,2218,2088,1939,1650,
PT-1014-765911,['f7a8149e-ee7f-4545-a976-5d5de0146958'],['PLC134'],185.0,RESIDENTIAL,,,,,,,0,694,657,614,566,472,
PT-1014-765923,"['3a35652f-341d-450a-8a86-a4b69c074c51', '4afb715f-33fc-44ad-b0d8-f06b58786b80']",['PLC113'],264.0,RESIDENTIAL,,,0,0,0,0,0,1092,1033,966,889,743,
PT-1014-765926,"['3a35652f-341d-450a-8a86-a4b69c074c51', '8a7d75d8-88be-4dc9-8aba-f94d94419d3f', '9a61d067-06b5-4d6c-b0ef-c82134d4aaec']",['PLC113'],162.0,RESIDENTIAL,,,0,0,0,0,0,886,838,784,721,603,
PT-1014-766104,"['0add6d62-eb8e-4a82-aef9-4edbff57bd8f', 'e05d1f6a-b93c-4e06-8aea-6a50e67918e9', '63d5fe8b-3fcb-4004-9239-629075b3d969']",['PLC51'],1625.0,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,0,0,"Demand not generated, hence not paid",0,0,
PT-1014-766168,['d8ff2938-0695-4ba2-a1cc-b18ad6db4e24'],['PLC61'],294.0,MIXED,,,,,,,0,0,0,"Demand not generated, hence not paid",0,0,
PT-1014-766238,"['5eff9458-3259-4640-8dfd-1b0155f1eef5', 'bc5f7392-2fa7-4d29-91d7-4dbf5f469247', '9e314bf8-ef44-4df3-8e64-2468ef7b49db', 'c50222ed-f551-4999-bde0-44c25b921fac']",['PLC51'],200.0,NONRESIDENTIAL.COMMERCIAL,,,,,,0,0,0,0,"Demand not generated, hence not paid",0,0,
PT-1014-766249,['2f61f55b-6b31-4e8d-ad02-3a7dfea6c7e7'],['PLC169'],34.0,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,"Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,
PT-1014-766566,['d6ba2402-cafa-4db6-81f3-9c4664f44fe0'],['PLC210'],200.0,RESIDENTIAL,,,,,,,0,"Demand not generated, hence not paid",0,0,0,0,
PT-1014-766571,['a1bfb66b-bf85-4bd7-a246-26b0946c593c'],['PLC61'],28.0,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,"Demand not generated, hence not paid",0,0,0,0,
PT-1014-766616,['50bd6d9e-93fa-4d98-a3f5-19ad75cc6059'],['PLC191'],140.0,RESIDENTIAL,,,0,0,0,0,0,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,
PT-1014-766713,['7c8e5390-f051-49e2-a426-f734dea58f69'],['PLC102'],440.0,RESIDENTIAL,,0,0,0,0,0,0,0,0,0,0,843,
PT-1014-766758,['871d6af2-d1de-4812-ac99-60e285bf90eb'],['PLC210'],400.0,RESIDENTIAL,,,,,,,0,0,"Demand not generated, hence not paid",0,0,0,
PT-1014-766769,['0ac7db71-10c2-4067-9c43-fdd2dd8e6179'],['PLC210'],200.0,RESIDENTIAL,,,,,0,0,0,729,690,645,594,496,
PT-1014-766809,['5aeb06a7-b95a-4168-b85f-bf05794d6a28'],['PLC75'],23.0,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,0,0,0,0,0.48,
PT-1014-766851,['8c66b20c-46b2-4a14-addf-9ad5d201d43d'],['PLC112'],120.0,RESIDENTIAL,,0,0,0,0,0,0,547,517,484,445,372,
PT-1014-766881,['9923f83f-349b-434f-a304-0016a26993ca'],['PLC51'],280.0,NONRESIDENTIAL.INDUSTRIAL,,,,,,,0,2831,2708,2566,2401,2076,
PT-1014-766957,['6e5952ef-c9fc-4b9d-b0f5-0a310d86c994'],['PLC81'],320.0,RESIDENTIAL,,,,,,,0,0,0,0,"Demand not generated, hence not paid",0,
PT-1014-766970,"['e8e5ff91-27df-4f8e-bbb0-9ae7dfd67148', 'be65c684-e60d-49a2-822b-07165c08fead']",['PLC96'],46.0,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,0,0,0,0,2478,
PT-1014-767030,['8d8710a9-a17c-49cb-8746-73fc00e23f10'],['PLC94'],61.0,RESIDENTIAL,,,,,,,0,337,319,299,275,227,
PT-1014-767104,['97b686ad-2eec-43d9-af5f-b45bab5ed553'],['PLC183'],37.6,NONRESIDENTIAL.COMMERCIAL,,,0,0,0,0,0,0,"Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,
PT-1014-767164,['f0e00726-a51d-4892-ad3e-5b5b9ebf650a'],['PLC105'],233.0,RESIDENTIAL,,,,,,,0,1001,947,886,815,681,
PT-1014-767213,['cbec6948-8317-44c1-8398-d28588efb746'],['PLC131'],95.0,RESIDENTIAL,0.0,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,0,0,0,0,353,
PT-1014-767265,['e4f96f7b-8a7e-4605-b8b6-ac268b353058'],['PLC130'],121.0,RESIDENTIAL,,,,,0,0,0,0,0,0,524,438,
PT-1014-767323,['476d5cab-59c8-4750-b14a-9561bcc80619'],['PLC188'],180.0,RESIDENTIAL,,,,,0,0,0,0,0,0,445,372,
PT-1014-767342,['dfff929b-9762-4247-91e9-508c119bf060'],['PLC188'],415.0,MIXED,,,,,0,0,0,6066,5363,4396,4424,4452,
PT-1014-767353,['9b688ba2-946e-4fd1-a26d-22a18177ae9c'],['PLC52'],170.0,NONRESIDENTIAL.INDUSTRIAL,,,,,,0,0,0,0,1219,1138,926,
PT-1014-767366,['5cc936f0-7252-4e67-b37b-f892e3d621b3'],['PLC188'],203.0,RESIDENTIAL,,,,,,,0,739,700,654,602,503,
PT-1014-767402,"['9b0e6902-a7eb-448a-9fcc-a49c2036f7c4', '125cc4d3-362f-4b7f-a2c0-d9d373f9b5b2', '9c11f2e0-a91b-4e0e-910f-5ead97df7743', '55b7727c-0d9d-42c2-91b6-b5673f5382f3']",['PLC2'],105.0,RESIDENTIAL,,,,,0,0,0,0,0,0,334,279,
PT-1014-767500,['8f506df8-4a7a-4a3d-972c-a5bb803977c8'],['PLC16'],357.0,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,0,0,13834,12848.34,10932,
PT-1014-767536,"['2614518d-131e-4daf-ace5-597a69b840ec', '2ee83f03-f7b1-44c5-be7d-47984039a924']",['PLC51'],972.0,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,0,0,0,0,48399,
PT-1014-767582,['cbd17dee-4194-4671-8b1d-e3b9c89a14d1'],['PLC121'],23.0,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,0,0,710,659,561,
PT-1014-767594,['fc674391-73e9-405b-af65-07a6d24c8de0'],['PLC163'],121.0,NONRESIDENTIAL.INDUSTRIAL,,,,,,,0,0,0,0,774,659,
